,artists,duration_ms,id,name,album.name,album.release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
0,The Weeknd,215626,5QO79kh1waicV47BqGRL3g,Save Your Tears,After Hours,2020,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,
1,Solera Orquesta,224106,1OhfBSn03Hye1441Ru4rFI,Procura Coquetearme Más,Desde el Mar,2014,0.592,0.755,8,-8.663,1,0.113,0.403,0.0,0.0853,0.937,199.685,
2,Nio Garcia,345240,6bvfJf4KjonPMuPfGfy3S2,La Jeepeta,Now Or Never,2020,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,
3,Videoclub,218706,7z2uCTo5Wu9CCMOGHeHSQN,Mai,Mai,2019,0.622,0.697,5,-8.666,1,0.0285,0.401,0.00163,0.339,0.315,105.005,"Paroles de la chanson Mai par Videoclub
[Matthieu Reynaud]
J'veux vivre et crier
Marcher longtemps dans les rues
Observer les gens muets
Dans la chaleur du soir les bras nus
Me nourrir uniquement de l'ennemi
D'ses défauts et d'sa folie
Puis recommencer deux jours plus tard
Faire ça toute ma vie
Monter en haut des toits
Faire des portraits d'mes amis
Parler à des gens que je connais pas
Et m'en tirer sans trop d'ennuis
Voilà c'est ça c'que j'veux
Des jours avec du soleil et de la pluie


[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire

[Adèle Castillon]
M'envoler dans la pluie
Déchirer mes copies
Échanger ces regards et pouvoir rentrer très tard
J'aurais dû sauver le jour pour t'offrir la nuit
Tes yeux regards hagards, essaye j'ai ma part
J'aurais pu, j'aurais dû
Oublier, voir l'été
Entre tes doigts
Moi je les vois
Les couleurs d'autrefois


[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm

[Adèle Castillon]
Pourrions-nous revenir sur cette histoire
Oui c'est bon, j'avoue, j'aurais dû te croire
Et pourrions-nous revenir sur cette histoire ?
Oui c'est bon, j'avoue, j'aurais dû te croire et

[Matthieu Reynaud]

Pourrions-nous revenir sur cette histoire
C'est bon, j'avoue, j'aurais dû te croire

[Matthieu Reynaud & Adèle Castillon]
J'veux plus écouter, j'veux pas m'poser d'questions
La nuit dans les soirées j'continuerai à faire le con
J'veux pas demander, j'veux plus donner raison
Traitez-nous d'révoltés on en écrira des chansons !
J'veux plus écouter j'veux pas me poser de questions
La nuit dans les soirées j'continuerai à faire le con
J'veux pas demander, j'veux plus donner raison
Traitez-nous d'révoltés, on en écrira des chansons !


[ Adèle Castillon]
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm
Hmm hmm hmm, hmm hmm hmm"
4,Videoclub,225253,28zSA1yhGkpqT6SX5GROKn,Roi,Roi,2018,0.701,0.375,9,-12.787,1,0.041,0.57,0.00206,0.1,0.253,107.984,"T'en trouvera d'autres des mecs comme moi
Il y en aura plein des gars pour toi
Tes boucles brunes s'évaporent
Dans mon âme, dans mon corps
Je te cherche dans mes songes
Je te traque dans mes rêves

À l'aube ou dans mon ombre errant veine ur tes lèvres

écorchant les abîmes de mon coeur

écarlate tu n'est que le point fixe de mes songes disparates

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Je vois des gens qui t'envient,

je vois des gens qui me sourient mais moi je plane dans la rue

Dans tes yeux, sous la pluie

Et je reste l'esprit de tes lointains souvenirs

Dans mes songes ensevelis, tes larmes, tes rires.

Tu es ma femme iconique.

Tu es mon rubis saphir.

Je suis ta rose lyrique.

Je suis ces gens qui t'admirent

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Des jours j'erre en fuyant la nuit j'parcours ta peau

Je parcours la ville

La fumée sortie de ta bouche file s'échappe de jours

En jours quand j'me réveille dans la nuit

Je suis seule sous mes vices

Je t'aime quand il pleut tu es la nymphe de mes voeux

Je t'embrasse dans mes rêves et je t'aime au bout des lèvres

Je déteste le goût mièvre de leur bouches de leurs rêves

Dans la nuit tu me regardes.

Sous les nuages je divague

Avec toi je suis roi,

Toi je suis roi, toi je suis roi, toi je suis roi

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Je suis un garçon de la nuit

Moi je laisse tomber les filles

Je n'aime que tes bas résilles

Qui dans mes pensées grésillent

Je suis un garçon de la nuit

Moi je laisse tomber les filles

Je n'aime que tes bas résilles

Qui dans mes pensées grésillent

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille

Aime moi dans la neige

Aime moi sous le soleil

Aime moi la peau beige

Dans les fleurs de vermeille"
5,girl in red,143355,00gLisxOrLruNwJFdpkHc2,forget her,we fell in love in october / forget her,2018,0.533,0.313,2,-16.827,1,0.033,0.631,0.681,0.072,0.517,148.926,
6,The Strokes,196133,0J2OnBNKwt0KICDyDFPUvl,Take It Or Leave It,Is This It,2001,0.429,0.924,2,-6.131,0,0.0406,0.000542,0.353,0.104,0.484,154.104,"Paroles de la chanson Take It Or Leave It par The Strokes
Leave me alone
I'm in control
I'm in control 
And girls act too much
And boys act too tough
Enough is enough
Were on the minds of other men I know she was

I said just take it or leave it
And take it or leave it
And take it or leave it
And take it or leave it
Oh just take it or leave it 
And take it or leave it
Oh take it


I say, he's gonna let you down
He's gonna let you down
He's gonna let you down
And gonna break your back, for a chance
And gonna steal your friends, if he can
He's gonna win someday

I fell off the track
Now I can't go back
I'm not like that
Boys act too much
Girls act too tough
Enough is enough. 
Well on the minds of other girls I know he was.

I said just take it or leave it
And take it or leave it
And take it or leave it

And take it or leave it
Oh just take it or leave it
And take it or leave it
Oh take it

Oh that's right, he's gonna let you down
He's gonna let you down
He's gonna let you down. 
And gonna break your back, for a chance
And gonna steal your friends, if he can 
He's gonna win someday
Oh he will"
7,The Strokes,208306,1EsgUWQsxGBwnu3NATDjiU,The Modern Age,Is This It,2001,0.53,0.89,2,-6.042,1,0.0328,0.0124,0.759,0.143,0.868,145.958,"Up on a hill, here's where we begin
This little story, long time ago
Stop to pretend, stop pretending
It seems this game is simply never ending
Ah in the sun, sun having fun it's in my blood

I just can't help it, don't want you here right now

Let me go

Let me go go go go go go go go



Leaving just in time, stayed there for a while

Rolling in the ocean, trying to catch her eye

Work hard and say it's easy, do it just to please me

Tomorrow will be different, so I'll pretend I'm leaving



I feel so different now, we tried to deviate

We should learn to stay

My vision's clearer now but I'm not afraid

Flying overseas, no time to feel the breeze

I took too many varieties



Ah in the sun, sun having fun it's in my blood

I just can't help it, don't want you here right now

Let me go

Let me go go go go go go go go



Leaving just in time, stayed there for a while

Rolling in the ocean, trying to catch her eye

Work hard and say it's easy, do it just to please me

Tomorrow will be different, so I'll pretend I'm leaving"
8,Jowell & Randy,212010,0cRgJuB6TRtb5RZ2HkjSLh,Anaranjado,Viva el Perreo,2020,0.763,0.58,8,-6.196,1,0.144,0.0466,1.6e-05,0.154,0.608,175.937,
9,ChiChi Peralta,271031,2q9udNV9NK0BL3q9p6TLxf,Procura,Pa' Otro La 'O,1997,0.805,0.757,8,-7.46,1,0.0355,0.279,0.000839,0.101,0.973,102.14,"Procura seducirme muy despacio 
y no reparo todo lo que en el año te hare 
procura caminarme ya 
como ola en el mar 
y te aseguro que me hundo para siempre en tu rodar 


quizas convenga que te alejes, quizas 

me domina la tentacion 

de imaginar que estoy tan cerca de ti 

tan cerca sin poder resistir 



procura coquetearme mas 

y no reparo de lo que te hare 

procura ser parte de mi 

y te aseguro que me hundo en ti 

procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura coquetearme mas 

y no reparo de lo que te hare 

procura ser parte de mi 

y te aseguro que me hundo en ti 

procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura coquetearme mas 

y no reparo de lo que te hare 



procura ser parte de mi 

y te aseguro que me hundo en ti 



procura no mirarme mas 

y no sabras de que te perderas 

es un dilema del que tu y yo podemos escapar 



procura mujer que se aceleran mis latidos 

procura mujer 

procura mujer y te aseguro que me hundo en ti 

procura mujer 



mi corazon se acelera 

por que tu dia te llega 

sabes que hay luna llena 



(procura mujer que se aceleran mis latidos 

procura mujer) 



ir acercando tus labios 

y coquetearme despacio 

(procura mujer ) 

que yo caiga en tus brazos 



(procura mujer que se aceleran mis latidos 

procura mujer) 



(procura mujer y te aseguro que me hundo en ti 

procura mujer) 



ir acercando tus labios 

y coquetearme despacio 

(procura mujer) 

que yo caiga en tus brazos 



(procura mujer que se aceleran mis latidos 

procura mujer) 



mi corazon se acelera 

por que tu dia te llega 

sabes que hay luna llena 



(procura mujer que se aceleran mis latidos 

procura mujer) 



(procura mujer y te aseguro que me hundo en ti 

procura mujer) 



procura coquetearme mas 

y no reparo de lo que te hare."
